epoch, auc score
0, 0.5110426984339445
1, 0.5394190871369295
2, 0.5758265292464195
3, 0.6139740329273189
4, 0.6460982465533396
5, 0.6937491634319368
6, 0.7234640610360058
7, 0.7534466604202918
8, 0.7709811270244947
9, 0.7808860928925178
10, 0.7874447865078302
11, 0.7881140409583723
12, 0.7902556552001071
13, 0.7938696292330344
18, 0.7942711819033597
19, 0.7973497523758534
23, 0.7990898139472628
169, 0.7993575157274795
174, 0.8008298755186722
185, 0.8024360861999732
194, 0.8033730424307323
198, 0.8041761477713827
199, 0.8055146566724669
200, 0.8056485075625753
208, 0.8065854637933342
209, 0.8067193146834426
211, 0.8072547182438763
213, 0.8080578235845268
214, 0.8088609289251774
216, 0.810065586936153
225, 0.8120733502877794
233, 0.8126087538482131
242, 0.8128764556284299
245, 0.8128764556284299
251, 0.8156873243207067
253, 0.817695087672333
275, 0.8178289385624413
277, 0.8184981930129835
284, 0.8184981930129835
295, 0.8194351492437424
312, 0.8214429125953688
323, 0.8214429125953688
341, 0.8214429125953688
342, 0.8221121670459108
348, 0.8229152723865614
349, 0.8237183777272119
364, 0.825056886628296
369, 0.825056886628296
387, 0.8251907375184045
409, 0.8255922901887298
410, 0.8255922901887298
421, 0.8258599919689465
430, 0.825993842859055
431, 0.8261276937491634
432, 0.8263953955293802
433, 0.8263953955293802
434, 0.8266630973095971
454, 0.8286708606612233
488, 0.8288047115513318
489, 0.8302770713425245
493, 0.8304109222326328
503, 0.8304109222326329
506, 0.8304109222326329
514, 0.8309463257930665
518, 0.8324186855842591
530, 0.8328202382545844
531, 0.8328202382545844
543, 0.8329540891446928
545, 0.8340248962655601
547, 0.8341587471556686
560, 0.8341587471556686
561, 0.8353634051666443
569, 0.8376388702984874
570, 0.8381742738589212
586, 0.8383081247490296
599, 0.8383081247490296
600, 0.8388435283094633
601, 0.83911123008968
602, 0.8395127827600053
604, 0.8399143354303306
610, 0.8404497389907643
612, 0.8408512916610896
615, 0.8411189934413064
623, 0.8411189934413064
626, 0.8411189934413064
627, 0.8420559496720653
634, 0.8424575023423906
635, 0.8424575023423906
636, 0.8424575023423906
638, 0.8428590550127159
641, 0.8448668183643421
654, 0.845803774595101
671, 0.8462053272654264
702, 0.8464730290456431
720, 0.8466068799357516
1285, 0.8470084326060768
1312, 0.847677687056619
1318, 0.8480792397269441
1325, 0.8480792397269442
1329, 0.8480792397269442
1363, 0.8490161959577031
1387, 0.8490161959577031
1445, 0.8492838977379199
1454, 0.8500870030785704
1509, 0.8500870030785704
1519, 0.8511578101994378
1540, 0.8511578101994378
1574, 0.8511578101994378
1578, 0.8511578101994378
1579, 0.8516932137598715
1580, 0.8523624682104136
1609, 0.8526301699906305
1705, 0.8527640208807389
1725, 0.853433275331281
1731, 0.8543702315620398
1853, 0.8549056351224735
1975, 0.8551733369026905
