epoch, auc score
0, 0.5237585329942445
8, 0.536072814884219
9, 0.5560165975103735
10, 0.5786373979386963
11, 0.6048721723999465
12, 0.6226743407843662
13, 0.6414134653995449
14, 0.6547985544103868
15, 0.674340784366216
16, 0.6886628296078169
17, 0.7000401552670324
18, 0.7104805246954892
19, 0.7253379734975237
20, 0.7345736849150047
21, 0.7440770981127025
22, 0.7545174675411591
23, 0.7609423102663633
24, 0.7716503814750368
25, 0.7757997590683978
26, 0.7827600053540356
27, 0.788649444518806
28, 0.7915941641011913
29, 0.7976174541560701
30, 0.7998929192879133
31, 0.8032391915406237
32, 0.8072547182438763
34, 0.811002543166912
36, 0.8154196225404899
37, 0.8175612367822246
38, 0.8178289385624414
39, 0.8201044036942845
40, 0.8214429125953687
41, 0.822781421496453
42, 0.8241199303975372
43, 0.825324588408513
44, 0.8266630973095971
45, 0.8288047115513317
49, 0.8289385624414403
50, 0.8297416677820908
51, 0.8305447731227412
52, 0.8316155802436087
53, 0.8325525364743676
54, 0.8329540891446928
57, 0.833355641815018
59, 0.8340248962655602
60, 0.8341587471556685
61, 0.8352295542765359
62, 0.8357649578369696
63, 0.8364342122875118
64, 0.8371034667380538
65, 0.8383081247490296
67, 0.8383081247490296
69, 0.838709677419355
77, 0.8392450809797884
78, 0.8393789318698969
79, 0.8397804845402221
81, 0.840048186320439
96, 0.8404497389907644
97, 0.84165439700174
98, 0.8419220987819569
102, 0.8429929059028243
111, 0.8429929059028243
843, 0.8432606076830411
859, 0.8433944585731495
865, 0.8436621603533664
873, 0.8436621603533664
881, 0.8436621603533664
882, 0.8448668183643421
888, 0.8454022219247758
922, 0.8464730290456431
923, 0.8467407308258599
936, 0.84674073082586
937, 0.8475438361665106
940, 0.8479453888368358
955, 0.848346941507161
958, 0.8488823450675946
960, 0.8492838977379199
963, 0.8496854504082452
970, 0.8496854504082453
971, 0.8502208539686789
1041, 0.8502208539686789
1043, 0.8503547048587873
1044, 0.8503547048587873
1045, 0.8503547048587873
1047, 0.8515593628697631
1051, 0.8520947664301968
1052, 0.8523624682104136
1086, 0.8526301699906305
1101, 0.8530317226609557
1102, 0.8532994244411725
1117, 0.8535671262213893
1647, 0.8539686788917147
1687, 0.8547717842323652
1749, 0.8550394860125821
1755, 0.8551733369026904
1761, 0.8561102931334493
1770, 0.8561102931334493
1798, 0.8565118458037746
1805, 0.8566456966938831
1811, 0.8569133984740999
1970, 0.8571811002543166
