epoch, auc score
0, 0.7194485343327534
1, 0.7842323651452282
2, 0.8017668317494311
3, 0.8123410520679962
4, 0.8163565787712487
5, 0.818632043903092
6, 0.8231829741667783
7, 0.8288047115513318
8, 0.8312140275732833
9, 0.8344264489358855
10, 0.8373711685182706
12, 0.8375050194083791
13, 0.8387096774193549
17, 0.8388435283094632
25, 0.8392450809797886
43, 0.8407174407709811
52, 0.840985142551198
61, 0.840985142551198
62, 0.8415205461116316
64, 0.8424575023423906
211, 0.8428590550127159
218, 0.8441975639138001
220, 0.8448668183643421
239, 0.8452683710346675
245, 0.8456699237049926
246, 0.8468745817159684
251, 0.8488823450675947
288, 0.8506224066390042
300, 0.8515593628697631
338, 0.8516932137598714
339, 0.8526301699906303
344, 0.8526301699906306
346, 0.8537009771114977
404, 0.8539686788917146
447, 0.8555748895730156
457, 0.8561102931334493
514, 0.8563779949136661
516, 0.8567795475839914
536, 0.8578503547048587
549, 0.8586534600455094
552, 0.8595904162762682
590, 0.8595904162762682
622, 0.8595904162762682
632, 0.8595904162762682
659, 0.8595904162762682
661, 0.8603935216169188
670, 0.8614643287377861
673, 0.8650783027707134
814, 0.8652121536608218
837, 0.8653460045509302
887, 0.8666845134520145
913, 0.8666845134520145
926, 0.8678891714629902
938, 0.8684245750234239
989, 0.8685584259135324
1094, 0.8686922768036407
1167, 0.8692276803640744
1188, 0.8698969348146165
